All Unique Contributions:
  URL: https://github.com/openedx/openedx-events/pull/1, Description: doc: Add purpose of this repo ADR, Author: morenol
  URL: https://github.com/openedx/openedx-events/pull/2, Description: feat: add Hooks Extension Framework tooling for filters, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/3, Description: feat: change login signal to only include user parameter, Author: morenol
  URL: https://github.com/openedx/openedx-events/pull/4, Description: docs: Open edX events naming, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/5, Description: test: testing attr package, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/6, Description: refactor: change folder structure following community feedback, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/7, Description: feat: add necessary tooling for Open edX events , Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/8, Description: feat: add data attributes definition for learning subdomain, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/9, Description: feat: preliminary signal definition, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/10, Description: test: add testing configuration, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/11, Description: docs: update readme with project specifications, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/12, Description: docs: update repo purpose, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/13, Description: chore: add bumpversion configuration, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/14, Description: fix: fix pypi rendering error, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/15, Description: chores: update requirements and fix resulting errors, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/16, Description: fix: add constraint to django so edx-opaque-keys can be used, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/17, Description: feat: add Medatada as data attribute, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/18, Description: feat: preliminary signal definition, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/19, Description: test: remove max-doc-length from tox.ini file due to community recommendation, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/20, Description: feat: add data attributes definition for learning subdomain, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/21, Description: docs: add Open edX Events status ADR, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/22, Description: ci: enable coverage in github actions, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/23, Description: refactor: remove unnecessary instantiation check, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/24, Description: feat: add event_status to inline docs add ADR to support it , Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/25, Description: fix: remove assignment to metadata object, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/26, Description: test: add signal isolation class and methods, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/27, Description: fix: remove TestCase inheritance to allow consistent method resolution, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/29, Description: feat: change send_robust to default method, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/30, Description: temp: A spike for using the current attrs objects with Avro., Author: feanil
  URL: https://github.com/openedx/openedx-events/pull/31, Description: feat: avro and attr bridge for event bus, Author: jinder1s
  URL: https://github.com/openedx/openedx-events/pull/32, Description: Mjg/authoring events, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/33, Description: Mjg/learning events definition, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/34, Description: build: incrementing version and updating changelog, Author: jinder1s
  URL: https://github.com/openedx/openedx-events/pull/35, Description: doc: adding adr about avro attrs bridge, Author: jinder1s
  URL: https://github.com/openedx/openedx-events/pull/36, Description: feat: Adding LicenseLifecycle data event, Author: jinder1s
  URL: https://github.com/openedx/openedx-events/pull/37, Description: refactor: Name changes to fit standards, Author: jinder1s
  URL: https://github.com/openedx/openedx-events/pull/40, Description: docs: event bus related ADRs, Author: jinder1s
